question,gold_answer,crag_ans,naive_ans,bm25_ans,vanilla_ans
What is a computer network?,A computer network is a set of devices (often referred to as nodes) connected by communication links. A node can be a computer printer or any other device capable of sending and/or receiving data generated by other nodes on the network. More simply it is two or more computers linked together for the purpose of sharing information resources or both.,"A computer network is hence, a system of","A computer network is hence, a system of","A computer network is a system of computers, print devices, network devices, and software, linked by communication media.",A computer network is a group of interconnected devices that can communicate and share resources.
What are the five components of a data communications system?,A data communications system has five components: Message (the information to be communicated) Sender (the device that sends the message) Receiver (the device that receives the message) Transmission medium (the physical path by which the message travels) and Protocol (the set of rules governing data communications).,The five components of a data communications system are:,The five components of a data communications system are:,"The five components of a data communications system are the concept of data management systems, a file-processing/file-based system, the limitations of a file-processing system that led to the development of the database system, data communications, and delivery, accuracy, timelines, and jitter.","The five components of a data communications system are the physical layer, data link layer, network layer, transport layer, and application layer."
What are the four fundamental characteristics of an effective data communications system?,The four fundamental characteristics are: Delivery (the system must deliver data to the correct destination) Accuracy (the system must deliver data accurately without alteration) Timeliness (the system must deliver data in a timely manner without unacceptable delay) and Jitter (variation in the packet arrival time which must be controlled especially for audio and video).,"The four fundamental characteristics of an effective data communications system are delivery, accuracy, timelines, and jitter.","Delivery, Accuracy, Timelines, and Jitter",• Learn the difference between procedural and,"The four fundamental characteristics of an effective data communications system are reliability, security, speed, and cost-effectiveness."
What is data communication and how does it differ from a computer network?,Data communication is the exchange of data between two devices via some form of transmission medium such as a wire cable. Telecommunication means communication at a distance and data refers to information presented in a form agreed upon by the parties. Computer networks are the highways on which data travels — they exist so that data communications can occur between devices.,"Data communication is the exchange of data between two devices or modules via a transmission medium such as a wire cable. It differs from a computer network in that a computer network is a set of devices connected by communication links, while data communication is the exchange of data between two devices or modules.","Data communication is the transmission of digital messages to devices external to the message source. It differs from a computer network in that a computer network is a system of computers, print devices, network devices, and software, linked by communication media, while data communication is the exchange of data between two devices via some form of transmission medium.","A computer network is a system of computers, print devices, network devices, and software, linked by communication media.","Data communication is the process of transmitting data between two or more devices, while a computer network is a group of devices that are connected to each other to share resources and communicate."
Describe the three modes of data flow (transmission modes) between two devices.,Communication between two devices can be Simplex (data flows in one direction only e.g. from mainframe to monitor) Half-Duplex (data flows in both directions but not simultaneously — one device transmits at a time e.g. walkie-talkie) and Full-Duplex (data flows in both directions simultaneously e.g. telephone conversation).,Ans:,"The three modes of data flow (transmission modes) between two devices are simplex, half-duplex, and full-duplex.","The three modes of data flow between two devices are simplex, half-duplex, and full-duplex.","The three modes of data flow between two devices are point-to-point, star, and mesh."
What is distributed processing and what are its advantages?,Distributed processing is a network feature where a task is divided among multiple computers rather than a single powerful computer handling all processing. Each computer handles a subset of the process. Advantages include: Security Distributed Databases Faster problem solving Security through redundancy and Collaborative processing.,"Distributed processing is a method in which a complex problem is divided into several smaller parts, each of which can be solved by itself. It is used in computer networks to divide the task among multiple computers. The advantages of distributed processing include security, distributed databases, faster problem solving, and security through redundancy. A network is a group of computers that are connected to each other and can share information.",I cannot find this in the lecture materials.,I cannot find this in the lecture materials.,"Distributed processing is a method of computing that involves dividing a large task into smaller subtasks that are executed simultaneously on different computers, which can improve performance, scalability, and reliability."
What are the benefits of a computer network?,The benefits of a computer network include: Information sharing (authorised users can access and share data databases and group projects) Hardware sharing (one device such as a printer or scanner connected to the network can be shared by many users) Software sharing (a program installed on the server can be accessed by all users from a single location) and Collaborative environment (users can work together on group projects by combining the power and capabilities of diverse equipment).,"A computer network is hence a set of devices (often referred to as nodes) connected by communication links. A node can be a computer, printer, or any other device capable of sending and/or receiving data generated by other nodes on the network.","A computer network is hence a set of devices (often referred to as nodes) connected by communication links. A node can be a computer, printer, or any other device capable of sending and/or receiving data generated by other nodes on the network.",The benefits of a computer network include:,"A computer network allows for the sharing of resources, communication, and collaboration among multiple devices and users."
What are the risks of network computing?,The security of a computer network is challenged every day by: Equipment malfunctions (which may be caused by natural disasters such as floods storms or fires and electrical disturbances) System failures Computer hackers and Virus attacks.,The security of a computer network is challenged everyday by:,1. What problem or unmet need are you solving?,1. What problem or unmet need are you solving?,"The risks of network computing include security threats, data breaches, and privacy concerns."
What three criteria must a computer network meet to be considered effective and efficient?,To be considered effective and efficient a computer network must meet three most important criteria: Performance (measured using transit time and response time and depending on number of users type of transmission medium hardware and software) Reliability (measured by accuracy of delivery frequency of failure recovery time after failure and network readiness in the event of catastrophe) and Security (protecting data from unauthorised access and viruses).,1.1 AN EXAMPLE .................................................................................................................................................... 2,"A computer network must meet three most important criteria as follows: performance (measured using Transit Time, Response Time), depend on the number of users, and be caused by natural disasters such as floods, storms, or fires, and electrical disturbances.",A computer network must meet three most important criteria as follows:,"A computer network must be reliable, secure, and have low latency to be considered effective and efficient."
What is a communications channel and what is the difference between physical and wireless transmission media?,To transfer data from one computer to another requires a link through which the data can be transmitted — this link is known as the communications channel. Sending data through the channel requires transmission media which may be either physical (tangible cable-based) or wireless. Physical media include twisted-pair cable coaxial cable fibre-optic cable and ISDN lines. Wireless media include microwave systems satellite systems cellular technology and infrared technology.,"A communications channel is a pathway over which information can be conveyed. It may be defined by a physical wire that connects communicating devices, or by a radio, laser, or other radiated energy source that has no obvious physical presence.","A communications channel is a pathway over which information can be conveyed. It may be defined by a physical wire that connects communicating devices, or by a radio, laser, or other radiated energy source that has no obvious physical presence.","A communications channel is a medium through which information is transmitted from one point to another. The difference between physical and wireless transmission media is that physical transmission media require physical connections between the sender and receiver, while wireless transmission media do not require physical connections.","A communications channel is a medium that carries information from one point to another, and the difference between physical and wireless transmission media is that physical media requires a physical connection, while wireless media does not."
