question_id,course,question,gold_answer,source_slide_or_note,slide_number
Q001,CSM 478 Computer Networks,What is a computer network?,A computer network is a set of devices (often referred to as nodes) connected by communication links. A node can be a computer printer or any other device capable of sending and/or receiving data generated by other nodes on the network. More simply it is two or more computers linked together for the purpose of sharing information resources or both.,csm_478_lecture1.pdf,4
Q002,CSM 478 Computer Networks,What are the five components of a data communications system?,A data communications system has five components: Message (the information to be communicated) Sender (the device that sends the message) Receiver (the device that receives the message) Transmission medium (the physical path by which the message travels) and Protocol (the set of rules governing data communications).,csm_478_lecture1.pdf,7
Q003,CSM 478 Computer Networks,What are the four fundamental characteristics of an effective data communications system?,The four fundamental characteristics are: Delivery (the system must deliver data to the correct destination) Accuracy (the system must deliver data accurately without alteration) Timeliness (the system must deliver data in a timely manner without unacceptable delay) and Jitter (variation in the packet arrival time which must be controlled especially for audio and video).,csm_478_lecture1.pdf,7
Q004,CSM 478 Computer Networks,What is data communication and how does it differ from a computer network?,Data communication is the exchange of data between two devices via some form of transmission medium such as a wire cable. Telecommunication means communication at a distance and data refers to information presented in a form agreed upon by the parties. Computer networks are the highways on which data travels — they exist so that data communications can occur between devices.,csm_478_lecture1.pdf,6
Q005,CSM 478 Computer Networks,Describe the three modes of data flow (transmission modes) between two devices.,Communication between two devices can be Simplex (data flows in one direction only e.g. from mainframe to monitor) Half-Duplex (data flows in both directions but not simultaneously — one device transmits at a time e.g. walkie-talkie) and Full-Duplex (data flows in both directions simultaneously e.g. telephone conversation).,csm_478_lecture1.pdf,8
Q006,CSM 478 Computer Networks,What is distributed processing and what are its advantages?,Distributed processing is a network feature where a task is divided among multiple computers rather than a single powerful computer handling all processing. Each computer handles a subset of the process. Advantages include: Security Distributed Databases Faster problem solving Security through redundancy and Collaborative processing.,csm_478_lecture1.pdf,9
Q007,CSM 478 Computer Networks,What are the benefits of a computer network?,The benefits of a computer network include: Information sharing (authorised users can access and share data databases and group projects) Hardware sharing (one device such as a printer or scanner connected to the network can be shared by many users) Software sharing (a program installed on the server can be accessed by all users from a single location) and Collaborative environment (users can work together on group projects by combining the power and capabilities of diverse equipment).,csm_478_lecture1.pdf,10
Q008,CSM 478 Computer Networks,What are the risks of network computing?,The security of a computer network is challenged every day by: Equipment malfunctions (which may be caused by natural disasters such as floods storms or fires and electrical disturbances) System failures Computer hackers and Virus attacks.,csm_478_lecture1.pdf,11
Q009,CSM 478 Computer Networks,What three criteria must a computer network meet to be considered effective and efficient?,To be considered effective and efficient a computer network must meet three most important criteria: Performance (measured using transit time and response time and depending on number of users type of transmission medium hardware and software) Reliability (measured by accuracy of delivery frequency of failure recovery time after failure and network readiness in the event of catastrophe) and Security (protecting data from unauthorised access and viruses).,csm_478_lecture1.pdf,12
Q010,CSM 478 Computer Networks,What is a communications channel and what is the difference between physical and wireless transmission media?,To transfer data from one computer to another requires a link through which the data can be transmitted — this link is known as the communications channel. Sending data through the channel requires transmission media which may be either physical (tangible cable-based) or wireless. Physical media include twisted-pair cable coaxial cable fibre-optic cable and ISDN lines. Wireless media include microwave systems satellite systems cellular technology and infrared technology.,csm_478_lecture1.pdf,13
Q011,CSM 478 Computer Networks,Describe the four types of physical transmission media used in computer networks.,Twisted-pair cable consists of two independently insulated wires twisted around each other and is the least expensive type used in many telephone systems. Coaxial cable consists of an insulated centre wire grounded by a shield of braided wire and is the primary type used by the cable television industry. Fibre-optic cable contains hundreds of clear fiberglass or plastic fibres that can carry more data and is lighter and less susceptible to interference but is fragile and expensive. ISDN line is a special digital telephone line that transmits and receives information at very high speeds.,csm_478_lecture1.pdf,14
Q012,CSM 478 Computer Networks,What are the two most common types of networks and what is the primary difference between them?,The two most common types of networks are Local Area Networks (LANs) and Wide Area Networks (WANs). The primary difference is that a LAN is generally confined to a limited geographical area such as a building or office whereas a WAN covers a large geographical area. Most WANs are made up of several connected LANs.,csm_478_lecture1.pdf,16
Q013,CSM 478 Computer Networks,Distinguish between a LAN and a WAN and list the types of WANs.,A Local Area Network (LAN) spans a small area such as a building or office where software applications and resources are stored on a file server and print servers enable multiple users to share the same printer. A Wide Area Network (WAN) spans a large geographical area and includes several types: Metropolitan Area Network (MAN) Public Access Network (PAN) Value Added Network (VAN) and Virtual Private Network (VPN).,csm_478_lecture1.pdf,17
Q014,CSM 478 Computer Networks,What is an Intranet and how does it differ from an Extranet?,An Intranet is a private LAN designed for use by everyone within an organisation. It might consist of an internal e-mail system a message board and one or more web site portals containing company news forms and personnel information and access is restricted by a firewall. An Extranet is a network that connects people within a company with people outside the company within a secure password-protected network that can be accessed from anywhere.,csm_478_lecture1.pdf,21
Q015,CSM 478 Computer Networks,What are the three properties used to categorise or classify networks?,Networks are usually classified using three properties: Protocol (the agreed-on rules for transmitting data) Architecture (the way a network is designed and built — peer-to-peer or client/server) and Topology (the way computers and peripherals are configured — bus star ring mesh or hybrid).,csm_478_lecture1.pdf,22
Q016,CSM 478 Computer Networks,What is a network protocol and what features does it determine?,A protocol is an agreed-on set of rules and procedures for transmitting data between two or more devices. Features determined by the protocol include: how the sending device indicates it has finished sending the message how the receiving device indicates it has received the message and the type of error checking to be used. Most networks use Ethernet while on the Internet the major protocol is TCP/IP (Transmission Control Protocol/Internet Protocol).,csm_478_lecture1.pdf,23
Q017,CSM 478 Computer Networks,What are the two major types of network architecture and how do they differ?,Network architecture refers to the way a network is designed and built. The two major types are: Peer-to-peer architecture where computers connect with each other in a workgroup to share files printers and Internet access — used to connect a small number of computers. Client/server architecture where information is sent from a client computer to a server which then relays the information back to the client or to other computers on the network — suited for larger networks.,csm_478_lecture1.pdf,28
Q018,CSM 478 Computer Networks,Describe the four main network topologies.,Network topology refers to the way computers and peripherals are configured to form networks. Bus topology: all computers are linked by a single line of cable. Star topology: multiple computers and peripheral devices are linked to a central computer called a host. Ring topology: each computer or workstation is connected to two other computers with the entire network forming a circle. Mesh topology: every device is connected to every other device providing multiple redundant paths. Hybrid topology combines different layout types to meet specific needs.,csm_478_lecture1.pdf,30
Q019,CSM 478 Computer Networks,What is a Network Interface Card (NIC) and what is its role in connecting a node to a network?,The NIC is a board installed in a computer or network device. In many computers it is built into the main board. One end is accessible on the outside of the workstation via a connector for attachment to communications media and it may also be a separate card inserted into an expansion slot. Imprinted on every NIC is a hardware address known as the Media Access Control (MAC) address. MAC addresses (also called Physical Addresses) are unique for every host device and nodes are attached to networks through communications media via the NIC.,csm_478_lecture2-NEW.pdf,3
Q020,CSM 478 Computer Networks,What are the five main networking hardware devices and what does each do?,The five main networking devices are: Repeaters (also called amplifiers) — electronic devices that receive weakened signals and amplify and resend them along the network. Hubs/Switches — electronic devices with a number of ports used in a LAN to link groups of computers. Routers — electronic devices used to ensure messages are sent to their intended destinations. Bridges — hardware and/or software that allows communication between two similar networks. Gateways — hardware and/or software that allows communications between dissimilar networks.,csm_478_lecture2-NEW.pdf,6
Q021,CSM 478 Computer Networks,Explain how a repeater works and why it is necessary in a network.,A common problem in networking is that electrical signals weaken as they travel through copper wire due to electrical resistance. This limits the length of cable that can be used. A repeater overcomes this limit when there is a need to connect two computers at a larger distance. A repeater is connected to two cable segments — any electrical signal reaching it from one segment is amplified and retransmitted to the other segment.,csm_478_lecture2-NEW.pdf,8
Q022,CSM 478 Computer Networks,What is a hub and what is its major limitation?,The hub was introduced when new Ethernet technologies brought new cable types that could not fulfil the physical characteristics required by the original physical bus Ethernet. The hub's major function is to replicate data it receives from one device attached to it to all other devices. However using hubs can contribute to congestion on an Ethernet network because all ports share the same collision domain. Hub networks are usually limited to a maximum of about ten hosts before performance deteriorates significantly.,csm_478_lecture2-NEW.pdf,9
Q023,CSM 478 Computer Networks,What is network segmentation and which devices are used to achieve it?,Network segmentation is the process of breaking up one large network into a number of smaller ones to improve performance. As the number of hosts on a hub network increases network performance deteriorates so segmentation becomes necessary. Network segmentation is achieved with devices like Switches Routers and Bridges. Note that hubs do not segment a network — they only connect hosts on a particular segment together.,csm_478_lecture2-NEW.pdf,13
Q024,CSM 478 Computer Networks,Compare routers and switches in terms of OSI layer operation broadcast domains and collision domains.,Routers operate at Layer 3 (Network Layer) of the OSI model and by default break up both broadcast domains and collision domains — they provide a separate broadcast domain for each interface. Switches (Layer 2 switches) operate at Layer 2 (Data Link Layer) and break up collision domains by default but do not break up broadcast domains — they create separate collision domains but a single broadcast domain. Switches do not create internetworks while routers do. Switches switch frames from one port to another within a switched network while routers forward packets between different networks.,csm_478_lecture2-NEW.pdf,21
Q025,CSM 478 Computer Networks,What is a bridge and how does it reduce network traffic?,A bridge is a network device that filters data traffic from one network segment to another. Bridges reduce the amount of traffic on a LAN by dividing it into two network segments. A bridge examines each data frame and passes those known to be within the same LAN segment while forwarding those known to be on the other interconnected segment. Bridges learn which MAC addresses are on which network and develop a learning table (Bridging Table) so subsequent messages can be forwarded to the right network. Bridges operate at the data link layer (Layer 2) of the OSI model.,csm_478_lecture2-NEW.pdf,22
Q026,CSM 478 Computer Networks,What is a gateway and how does it differ from a router?,A gateway consists of hardware and/or software that allows communications between dissimilar networks. Historically the term gateway was used to refer to a routing device but in the TCP/IP world the term router now describes such a device. Today the term gateway refers to special-purpose devices that perform protocol conversions — they implement application layer conversions of information received from various protocols. Examples include voice gateways that convert speech on analogue phone lines to network protocol data and video gateways that convert video from digital phone lines to LAN protocol data.,csm_478_lecture2-NEW.pdf,25
Q027,CSM 478 Computer Networks,What is a firewall and what is its function in a network?,Firewalls are systems that establish access control policies among networks. They can block information from entering a network or from getting out of that network and they can permit different users to perform different kinds of operations according to the user's authorisations. An intranet's website is typically restricted by a firewall to prevent unauthorised external access.,csm_478_lecture2-NEW.pdf,27
Q028,CSM 478 Computer Networks,What are the two types of modem (by location) and how does a modem work?,A modem is a device that converts digital data from a terminal or computer to analogue signals used by voice communication networks such as the telephone system and converts audio tones back to digital pulses at the receiving end. The word Modem stands for MOdulator-DEModulator. Internal modems are electronic cards installed in one of the computer's expansion slots. External modems are fully functioning external devices connected to the computer using a serial cable and powered by an external power source. Modems are available in different transmission speeds measured in BPS (bits per second) also called BAUD rate.,csm_478_lecture2-NEW.pdf,28
Q029,CSM 478 Computer Networks,Given the IP address 195.143.208.133/25 what class is it and what is its default subnet mask?,The address 195.143.208.133 falls in the range 192.0.0.0 to 223.255.255.255 which is a Class C address. The default subnet mask for a Class C address is 255.255.255.0 (or /24 in CIDR notation). The /25 in the given address indicates a custom subnet mask of 255.255.255.128 (11111111.11111111.11111111.10000000 in binary).,1788817826471_END_OF_SEM_2_EXAMS_NETWORKING_2020.pdf,1
Q030,CSM 478 Computer Networks,Given IP address 176.184.238.73/16 what class is it and what is the NetID?,The address 176.184.238.73 falls in the range 128.0.0.0 to 191.255.255.255 making it a Class B address. Since it is a Class B address the NetID is determined by the first 16 bits. In binary: 10110000.10111000.11101110.01001001. Filling the host portion with zeros gives 10110000.10111000.00000000.00000000 which in decimal notation is 176.184.0.0.,1788817811186_Network_Assignment_2.pdf,1
Q031,CSM 478 Computer Networks,What is CIDR notation (the /n notation) and what does /16 represent in dotted decimal and bitwise notation?,CIDR stands for Classless Inter-Domain Routing. The /n notation indicates the number of bits in the network (subnet mask) portion of the address. /16 means the first 16 bits are all ones representing the network portion. In dotted decimal notation /16 is 255.255.0.0 and in bitwise notation it is 11111111.11111111.00000000.00000000.,1788817811186_Network_Assignment_2.pdf,1
Q032,CSM 478 Computer Networks,For the IP address 176.184.238.73/16 what is the HostID?,Since this is a Class B address with a /16 mask the HostID is determined by the last 16 bits of the IP address. The network portion is 10110000.10111000 (176.184) and the host portion is 11101110.01001001 (238.73). Therefore the HostID is 238.73 and the host address range for this network is 176.184.0.1 to 176.184.255.254.,1788817811186_Network_Assignment_2.pdf,1
Q033,CSM 478 Computer Networks,How many subnets and hosts per subnet are created when subnetting 176.184.0.0/16 into /20 subnets?,To create 16 subnets from the /16 block 4 bits are borrowed from the host side (2^4 = 16 subnets) giving a new prefix of /20 with subnet mask 255.255.240.0. Each subnet has 12 host bits remaining supporting 2^12 = 4096 addresses per subnet and 4094 usable host addresses (subtracting network and broadcast addresses). The subnet addresses increment by 16 in the third octet: 176.184.0.0/20 176.184.16.0/20 176.184.32.0/20 and so on up to 176.184.240.0/20.,1788817811186_Network_Assignment_2.pdf,2
Q034,CSM 478 Computer Networks,What are the causes of LAN traffic congestion?,Causes of LAN traffic congestion include: Too many hosts in a single broadcast domain Broadcast storm Multicasting Low bandwidth Adding hubs for connectivity to the network and a large amount of ARP or IPX traffic. Note that a switch does not break up broadcast domains — it only creates separate collision domains while the broadcast domain remains shared.,csm_478_lecture2-NEW.pdf,15
Q035,CSM 478 Computer Networks,Explain the functions of a router in a network.,Routers are used to connect separate networks together and route packets of data between them. The functions of a router include: Packet Switching (forwarding packets from one network to another) Packet filtering (examining packets and deciding whether to forward or discard based on routing rules) Internetwork communication (creating internetworks that allow different networks to communicate) and Path selection (choosing the best path for packets using a routing table). Routers also by default break up both broadcast and collision domains and provide connections to WAN services.,csm_478_lecture2-NEW.pdf,19
Q036,CSM 478 Computer Networks,What are the different wireless transmission media and what factors determine which medium is selected?,Wireless media include: Microwave system (transmits data via high-frequency radio signals through the atmosphere) Satellite system (receives transmitted signals amplifies them and retransmits them to the appropriate locations) Cellular technology (uses antennae resembling telephone towers to pick up radio signals within a specific cell area) and Infrared technology (transmits data as infrared light waves from one device to another providing wireless links between PCs and peripherals). The type of medium selected is determined by the type of network the size of the network and the cost.,csm_478_lecture1.pdf,15
Q037,CSM 478 Computer Networks,What is the Ethernet bus and how does it work?,Ethernet LANs use a bus topology where all stations are connected to a single long cable. Any station can send a signal along the cable which all other stations will receive. Unlike ring topologies the cable does not close a loop. The original Ethernet LANs (physical bus) relied on the physical characteristics of coaxial cable. When new cable types were introduced that could not fulfil those requirements hubs were introduced to simulate the bus characteristics.,csm_478_lecture1.pdf,25
Q038,CSM 478 Computer Networks,Explain how a Token Ring network operates.,A token passing ring LAN is a group of computers connected in a loop that uses a token passing access mechanism. A computer wishing to send data must first receive permission by acquiring the token. When it gets control of the network it may transmit a frame. Each frame transmitted on the ring is passed from one computer to the next until it ultimately returns to the initiator of the transmission. This ensures orderly access to the network and prevents collisions.,csm_478_lecture1.pdf,26
Q039,CSM 478 Computer Networks,What is hostname to IP address resolution and when is DNS used versus a broadcast?,When two hosts on a network need to communicate they use their hardware (MAC) addresses. If a host knows only the other host's name and not its IP address it must perform hostname to IP address resolution. If the two hosts are on different networks this requires a Domain Name Service (DNS) lookup. If the two hosts are on the same LAN the sending host can send a BROADCAST message to all hosts on the network to request the MAC address corresponding to the known hostname — this is handled by the NetBIOS Name Service (NBNS also known as WINS on Windows systems).,csm_478_lecture2-NEW.pdf,11
Q040,CSM 478 Computer Networks,What are the common communication protocols used for application-level communication on a network?,Common application-level communication protocols include: FTP (File Transfer Protocol) — used to transmit files between systems. SMTP (Simple Mail Transfer Protocol) — used to transmit e-mail messages. POP (Post Office Protocol) — allows the recipient to retrieve messages from a mail server. HTTP (Hypertext Transfer Protocol) — used by web browsers to request and transfer web pages. WAP (Wireless Application Protocol) — enables wireless devices to access the Internet using a client/server network. 802.11 — the protocol standard for wireless LAN technology.,csm_478_lecture2-NEW.pdf,30
